SUPeR-seqpool-split1	SUPeR-seqpool-split2	SUPeR-seqpool-split4	SUPeR-seqpool-split3	SUPeR-seqpool-split6	SUPeR-seqpool-split5	SUPeR-seqpool-split8	SUPeR-seqpool-split7	SUPeR-seqpool-split9	SUPeR-seqpool-split10
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0.0499735	2.59711	0	4.13802	0.153299	1.52981E-07	0.0299412	0.014552	0	2.85698
0	8.54764	0	0	0.991782	0.422182	1.8101E-05	0.497013	0	10.1343
0	0	0	0	0	0	0	0	0	19.7915
0.00588055	0.592392	0	0	0.000408678	0	0.00450391	0.143667	0.0742616	2.49218E-09
0	2.25921E-07	0	0	0	0	0	0	3.8952	0
0.00679431	0	0	0.00836526	0	0	0	0	0	0.00845105
2.83768	3.09246	5.3609	6.45204	2.92369	0.492081	3.7347	9.06789	3.40964	0.648644
0	0	0	0.335729	0	0	0	0	0	0
0.0302205	0	0	0	0	0	0.0333589	0	0	0
3.14845	0.862191	3.6942	0.018643	0.0294698	0.0505071	0.73342	0.115577	0.00739142	0.0249804
0.0184066	0	0.01186	0	0.00111946	0.00107568	0	0.00487983	0	0.00605693
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0.00575519	0	0	0	0	0	0	0	0	0
0.410919	1.72506	1.73306	3.46729	16.803	0.0339437	1.79766	0.313277	2.2449	0.260184
10.0316	8.0953	17.6011	18.8868	18.4298	4.35918	11.7947	6.46174	9.11805	2.88201
0.0146615	7.8098	0.0351521	11.7182	0.608262	7.29546E-07	0.369472	1.04852	0.254763	12.2803
0.0196979	1.02825E-06	0	0	0.000202716	0.220022	0	1.09598E-08	0	2.80654E-05
17.503	0	0	0	0	0	0	0	0	0
0.0114901	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0.0100258	0	0	0	0	0	0	0	0	1.75241E-12
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0.0120192	0	0	0	0	0	0	0	0	0
0	5.65739	0.129055	0	0.681909	0.220678	0	0.0683723	0	20.549
0	0	0	0	0	0	0	0	0	0
0.0586717	0	0	0	0	0.00433748	0	0.0112704	0	0
0	0	0	0	5.71073	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0.00293451	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	66.0995	12.602	11.8684	0.0169586	7.07325	0	27.4204	4.56765	0
0.0184839	0	0	0	0	0.0835888	0	1.18302	2.50707	0.512772
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	2.96992E-08	0	0	0
0	0	0	0	0	0	0.0189638	0	0	0
0	0	0	0	0	0	0	0	0	0
26.7926	0	0	0	0	0	0	0.356575	0.17684	4.13777
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1.58781
11.4419	0	0	0	0	0	0	0	0	32.2532
0	0	0	0	0	0	0	0	0	0
